doc_id,lemma,supersense,matched_verb,verb_type,sentence
erdrich1988,hoof,noun.animal,do,agency,"The lumber men often used drags or sledges , and these too had cut the earth , as did the shod hooves of animals ."
paton1948,ant,noun.animal,eat,agency,Behind the polished panelling the white ant eats away the wood .
allende2002,piranha,noun.animal,eat,agency,"She told Alex about the time she had watched as a caiman , badly wounded by a jaguar , dragged itself into the water , where piranhas ate into the wound and devoured the caiman from the inside in a matter of minutes , leaving its hide intact ."
allende2002,monkey,noun.animal,understand,both,Alex had the impression that the monkey understood its owner 's words perfectly .
allende2002,jaguar,noun.animal,recognize,both,""" The jaguar recognized you because it is your totemic animal , ” she said ."
allende2002,animal,noun.animal,see,experience,"No one moved , paralyzed with surprise , and that saved them because the animal , like Alex , did not see well in the dark ."
allende2002,animal,noun.animal,communicate,agency,""" All animals can communicate , ” she insisted ."
allende2002,ant,noun.animal,leave,agency,The ant had left a small white mark that within a few minutes had turned as hard and round as a cherry .
allende2002,dog,noun.animal,do,agency,"When he woke , he was curled up on a straw mat between two husky warriors who were snoring and snorting in his ear the way his dog , Poncho , always did ."
allende2002,bird,noun.animal,see,experience,"That is why we are careful when we make fire , so that the bird will not see the smoke ."
allende2002,egg,noun.animal,save,agency,Walimai believes that the eggs will save the People of the Mist . ”
allende2002,egg,noun.animal,mean,agency,What did those three crystal eggs mean that Nadia had seen in her dream ?
allende2002,fish,noun.animal,forget,agency,He walked into the river up to his City OF THE BEASTS · 245 knees and stood motionless and silent until the fish forgot his presence and began to dart around him .
allende2002,fish,noun.animal,eat,agency,"Now he was absorbing what Nadia was saying "" It understands because that fish has eaten other fish ; now it is its turn to be eaten ."
allende2002,dragon,noun.animal,do,agency,"The dragon of the grotto did many different CITY OF THE BEASTS · 259 not emit flames , but the penetrating perfume of a cour- tesan ."
allende2002,bird,noun.animal,destroy,both,"They watched as the cannibal - bird destroyed the cage and was free to devour everything in its path , but a white eagle and a black jaguar stood in its way , challenging it to a fight to the death ."
allende2002,Jaguar,noun.animal,do,agency,“ Jaguar and Eagle ... will do battle ... with the Rahakanariwa . ...
allende2002,egg,noun.animal,say,agency,""" The three eggs in the nest , ” Nadia said without hesitation ."
allende2002,eagle,noun.animal,know,agency,"She felt her soft and curly hair changing into strong feath- ers that lay flat against her skull but that bristled when she willed , feathers that contained everything eagles know , antennae that perceived anything in the air , even the invisible ."
allende2002,egg,noun.animal,save,agency,"From above , she saw the eggs glittering in the nest , just as in the vision , and she experienced the same convic- tion she had then : Those eggs would save the People of the Mist ."
allende2002,monkey,noun.animal,see,experience,"As soon as the monkey saw his mistress , he raced to her with obvious relief and wound his arms around her neck ."
allende2002,jaguar,noun.animal,try,agency,What message was the jaguar trying to send him ?
allende2002,monkey,noun.animal,save,agency,“ You actually think that little monkey can save us ? ” she snorted .
allende2002,beast,noun.animal,retire,agency,"The two Beasts that had attacked in tandem retired at their habitual lumbering pace , but their odor persisted most of the night ."
popham1990,wasp,noun.animal,change,agency,"The wasp changed its ap- proach and straddled it , inching the caterpillar awkwardly forward beneath its body ; but it still could n't make the cater- pillar slant downward into the hole ."
popham1990,snake,noun.animal,leave,agency,"Only a snake or a creature dragging an injured leg left an uninterrupted , continuous track like a vehicle 's ; but a snake or an injured leg left a nar- row furrow , not a broad band like a tire 's track ."
popham1990,snake,noun.animal,leave,agency,"Only a snake or a creature dragging an injured leg left an uninterrupted , continuous track like a vehicle 's ; but a snake or an injured leg left a nar- row furrow , not a broad band like a tire 's track ."
popham1990,coyote,noun.animal,continue,both,"When the coyote continued to lie there , Brand X impatiently swiped him with a paw ."
popham1990,stallion,noun.animal,assume,both,"When the stallion had come on Nabisco , dozing with droopy neck down in the wash , Nabisco had looked so old and lackluster that the stallion had assumed the takeover of the mares would be easy , that the old one would do no more than put up a brief , halfhearted show of resis- tance , then flee ."
popham1990,stallion,noun.animal,see,experience,"With Nabisco down , the stallion saw a happy ending in store after all ."
popham1990,coyote,noun.animal,do,agency,"Second - guessing what the coyote would do , Knapp fired the instant the coyote veered for it ."
popham1990,coyote,noun.animal,do,agency,Your own story says that all those coyotes did was raid a dump !
popham1990,lizard,noun.animal,escape,agency,"Dinty Moore leaped back , startled out of his wits to find himself bloodied in such a manner ; and the lizard escaped ."
popham1990,fish,noun.animal,do,agency,"He gingerly tapped it twice with the side of his paw to be sure it was dead and lowered his nose to it carefully and slowly until it almost touched , then jerked it back as if fearing the fish might do something sudden , unexpected ."
popham1990,fish,noun.animal,change,agency,The stone - boned fish had not changed when he scraped it with his paw .
popham1990,fossil,noun.animal,leave,agency,"As soon as they reached the wind - bent paloverde on the rocky outcropping , Brand X pawed the ground to loosen small stones and nosed them into the hole the fish fossil had left ."
london1903,dog,noun.animal,do,agency,"He felt it , as did the other dogs , and knew that a change was at hand ."
london1903,husky,noun.animal,add,agency,"Dub was badly injured in a hind leg ; Dolly , the last husky added to the team at Dyea , had a badly torn throat ; Joe had lost an eye ; while Billee , the good - natured , with an ear chewed and rent to ribbons , cried and whimpered throughout the night ."
london1903,horse,noun.animal,do,agency,"They hauled cabin logs and firewood , freighted up to the mines , and did all manner of work that horses did in the Santa Clara Valley ."
london1903,dog,noun.animal,do,agency,"For the pride of trace and trail was his , and , sick unto death , he could not bear that another dog should do his work ."
london1903,dog,noun.animal,know,agency,"The whips snapped , the bells tinkled merrily , the sleds churned along the trail ; but Buck knew , and every dog knew , what had taken place behind the belt of river trees ."
london1903,dog,noun.animal,lose,both,"The rest of his mates , though lighter dogs , had relatively lost more weight than he ."
london1903,dog,noun.animal,do,agency,"It is a saying of the country that an Outside dog starves to death on the ration of the husky , so the six Outside dogs under Buck could do no less than die on half the ration of the husky ."
london1903,beast,noun.animal,do,agency,""" Though it 's little faith I 'm having , John , that the beast can do the trick ."
austin1909,pine,noun.plant,leave,agency,"In time they passed quite through the saw- cut canons by Kern and Kings rivers and possessed all the east slope of the San Joaquin , but chiefly they settled by small clans and family groups where the pines leave off and the sage begins and the desert abuts on the great LOST BORDERS Sierra fault ."
austin1909,antelope,noun.animal,forget,agency,Since the beginning of the law the antelope had half forgotten his fear of man .
austin1909,coyote,noun.animal,learn,agency,In seven years a coyote may learn somewhat ; those of the Ceriso learned the ways of Little Pete and the antelope .
austin1909,coyote,noun.animal,see,experience,"The coyote that kept the watch at the head of the ravine saw him come , and lifted up his voice in the long - drawn dolorous whine that warned the other watchers in their unseen stations in the scrub ."
austin1909,coyote,noun.animal,forget,agency,"The afternoon wore on ; the homesteader hid in the reeds , and the coyotes had forgotten him ."
varley1980,horse,noun.animal,do,agency,She did what every horse does in every parade - usually in front of the reviewing stand — and with the same lack of shame .
varley1980,snake,noun.animal,approve,agency,The snake coiled around Robin 's arm and darted her tongue ; she approved of the damp heat of the shower room .
varley1980,animal,noun.animal,survive,both,An oxygen- breathing animal placed inside could survive until it died of starva- tion .
varley1980,animal,noun.animal,try,agency,"This part of Hyperion held no predators that would give her trouble , though some small animals might try a nibble ."
varley1980,snake,noun.animal,survive,both,"Then she compul- sively questioned Chris and Valiha , asking them if they thought the snake would survive ."
varley1980,animal,noun.animal,exist,both,"She did not believe it was the Night Bird ; even in her present state she knew no such animal had ever existed , either here or on Earth ."
herbert1965,beast,noun.animal,kill,agency,Those horns were sprayed with a transparent fixative within hours after this beast killed the Old Duke . ”
herbert1965,worm,noun.animal,leave,agency,“ Wait for the worm to leave . ”
herbert1965,worm,noun.animal,destroy,both,The worms will destroy all evidence .
herbert1965,leave,noun.plant,provide,agency,Leaves or black shade could provide another 18 ° of cooling .
adams1974,rabbit,noun.animal,say,agency,"“ Oh , it 's only Fiver , ” said the black - tipped rabbit , “ jumping at bluebottles again ."
adams1974,rabbit,noun.animal,say,agency,"Come on , Buckthorn , what were you telling me ? ” “ Fiver ? ” said the other rabbit ."
adams1974,rabbit,noun.animal,leave,agency,"Blackberry , the rabbit with tipped ears who had been startled by Fiver the night before , had listened carefully to Hazel 's description of the notice board , remarking that he had always felt sure that men left these things about to act as signs or messages of some kind , in the same way that rabbits left marks on runs and gaps ."
adams1974,rabbit,noun.animal,do,agency,I told him that the Owsla 's privileges did n't mean all that much to me in any case and that a strong rabbit could always do just as well by leaving the warren .
adams1974,rabbit,noun.animal,say,agency,""" Dandelion ? "" “ No , I 'm Hawkbit , ” said the rabbit who was peering over the edge ."
